AirportKey,AirportName,City,Country
ANU,V. C. Bird International Airport,St. John's,Antigua and Barbuda
SKB,Robert L. Bradshaw International Airport,Basseterre,Saint Kitts and Nevis
MDW," Chicago Midway International Airport ",Chicago,US
DAL,Dallas Love Field,Dallas,USA
HOU,William P. Hobby Airport,Houston,USA
BUR,Hollywood Burbank Airport,Burbank,USA
LGB,Long Beach Airport,Long Beach,USA
ONT,Ontario International Airport,Ontario,USA
RNO,Reno-Tahoe International Airport,Reno,USA
ABQ,Albuquerque International Sunport,Albuquerque,USA
ELP,El Paso International Airport,El Paso,USA
TUS,Tucson International Airport,Tucson,USA
OKC,Will Rogers World Airport,Oklahoma City,USA
TUL,Tulsa International Airport,Tulsa,USA
OMA,Eppley Airfield,Omaha,USA
DSM,Des Moines International Airport,Des Moines,USA
MSN,Dane County Regional Airport,Madison,USA
MKE,Milwaukee Mitchell International Airport,Milwaukee,USA
GRR,Gerald R. Ford International Airport,Grand Rapids,USA
LAN,Capital Region International Airport,Lansing,USA
FNT,Bishop International Airport,Flint,USA
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,USA
SBN,South Bend International Airport,South Bend,USA
FWA,Fort Wayne International Airport,Fort Wayne,USA
DAY,Dayton International Airport,Dayton,USA
TOL,Toledo Express Airport,Toledo,USA
LEX,Blue Grass Airport,Lexington,USA
SDF,Louisville Muhammad Ali International Airport,Louisville,USA
MEM,Memphis International Airport,Memphis,USA
JAN,Jackson-Evers International Airport,Jackson,USA
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,USA
MOB,Mobile Regional Airport,Mobile,USA
PNS,Pensacola International Airport,Pensacola,USA
TLH,Tallahassee International Airport,Tallahassee,USA
JAX,Jacksonville International Airport,Jacksonville,USA
SAV,Savannah/Hilton Head International Airport,Savannah,USA
CHS,Charleston International Airport,Charleston,USA
MYR,Myrtle Beach International Airport,Myrtle Beach,USA
CAE,Columbia Metropolitan Airport,Columbia,USA
GSP,Greenville-Spartanburg International Airport,Greer,USA
AVL,Asheville Regional Airport,Asheville,USA
TYS,McGhee Tyson Airport,Knoxville,USA
CHA,Chattanooga Metropolitan Airport,Chattanooga,USA
HSV,Huntsville International Airport,Huntsville,USA
ROC,Frederick Douglass Greater Rochester International Airport,Rochester,USA
SYR,Syracuse Hancock International Airport,Syracuse,USA
BUF,Buffalo Niagara International Airport,Buffalo,USA
ALB,Albany International Airport,Albany,USA
PWM,Portland International Jetport,Portland,USA
MHT,Manchester-Boston Regional Airport,Manchester,USA
BTV,Burlington International Airport,Burlington,USA
BDL,Bradley International Airport,Windsor Locks,USA
PVD,Rhode Island T. F. Green International Airport,Providence,USA
ORF,Norfolk International Airport,Norfolk,USA
RIC,Richmond International Airport,Richmond,USA
